position,name,teamName,details
1,YATES Adam,INEOS Grenadiers,https://www.procyclingstats.com/rider/adam-yates
2,PORTE Richie,INEOS Grenadiers,https://www.procyclingstats.com/rider/richie-porte
3,THOMAS Geraint,INEOS Grenadiers,https://www.procyclingstats.com/rider/geraint-thomas
4,VALVERDE Alejandro,Movistar Team,https://www.procyclingstats.com/rider/alejandro-valverde
5,KELDERMAN Wilco,BORA - hansgrohe,https://www.procyclingstats.com/rider/wilco-kelderman
6,CHAVES Esteban,Team BikeExchange,https://www.procyclingstats.com/rider/johan-esteban-chaves
7,ALMEIDA João,Deceuninck - Quick Step,https://www.procyclingstats.com/rider/joao-almeida
8,CARTHY Hugh,EF Education - Nippo,https://www.procyclingstats.com/rider/hugh-carthy
9,YATES Simon,Team BikeExchange,https://www.procyclingstats.com/rider/simon-yates
10,HAMILTON Lucas,Team BikeExchange,https://www.procyclingstats.com/rider/lucas-hamilton
11,WOODS Michael,Israel Start-Up Nation,https://www.procyclingstats.com/rider/michael-woods
12,KUSS Sepp,Team Jumbo-Visma,https://www.procyclingstats.com/rider/sepp-kuss
13,MCNULTY Brandon,UAE-Team Emirates,https://www.procyclingstats.com/rider/brandon-mcnulty
14,QUINTANA Nairo,Team Arkéa Samsic,https://www.procyclingstats.com/rider/nairo-quintana
15,MASNADA Fausto,Deceuninck - Quick Step,https://www.procyclingstats.com/rider/fausto-masnada
16,VANHOUCKE Harm,Lotto Soudal,https://www.procyclingstats.com/rider/harm-vanhoucke
17,BIZKARRA Mikel,Euskaltel - Euskadi,https://www.procyclingstats.com/rider/mikel-bizkarra
18,BUITRAGO Santiago,Bahrain - Victorious,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez
19,MAS Enric,Movistar Team,https://www.procyclingstats.com/rider/enric-mas
20,EDET Nicolas,"Cofidis, Solutions Crédits",https://www.procyclingstats.com/rider/nicolas-edet
21,CARAPAZ Richard,INEOS Grenadiers,https://www.procyclingstats.com/rider/richard-carapaz
22,KRUIJSWIJK Steven,Team Jumbo-Visma,https://www.procyclingstats.com/rider/steven-kruijswijk
23,GUERREIRO Ruben,EF Education - Nippo,https://www.procyclingstats.com/rider/ruben-guerreiro
24,RODRÍGUEZ Óscar,Astana - Premier Tech,https://www.procyclingstats.com/rider/oscar-rodriguez
25,MARTIN Dan,Israel Start-Up Nation,https://www.procyclingstats.com/rider/dan-martin
26,REICHENBACH Sébastien,Groupama - FDJ,https://www.procyclingstats.com/rider/sebastien-reichenbach
27,SÁNCHEZ Luis León,Astana - Premier Tech,https://www.procyclingstats.com/rider/luis-leon-sanchez
28,PETILLI Simone,Intermarché - Wanty - Gobert Matériaux,https://www.procyclingstats.com/rider/simone-petilli
29,DE LA CRUZ David,UAE-Team Emirates,https://www.procyclingstats.com/rider/david-de-la-cruz
30,GESBERT Élie,Team Arkéa Samsic,https://www.procyclingstats.com/rider/elie-gesbert
31,KÄMNA Lennard,BORA - hansgrohe,https://www.procyclingstats.com/rider/lennard-kamna
32,BADILATTI Matteo,Groupama - FDJ,https://www.procyclingstats.com/rider/matteo-badilatti
33,KANGERT Tanel,Team BikeExchange,https://www.procyclingstats.com/rider/tanel-kangert
34,KNOX James,Deceuninck - Quick Step,https://www.procyclingstats.com/rider/james-knox
35,ZWIEHOFF Ben,BORA - hansgrohe,https://www.procyclingstats.com/rider/ben-zwiehoff
36,MATÉ Luis Ángel,Euskaltel - Euskadi,https://www.procyclingstats.com/rider/luis-angel-mate
37,TOLHOEK Antwan,Team Jumbo-Visma,https://www.procyclingstats.com/rider/antwan-tolhoek
38,VALTER Attila,Groupama - FDJ,https://www.procyclingstats.com/rider/attila-valter
39,SCOTSON Callum,Team BikeExchange,https://www.procyclingstats.com/rider/callum-scotson
40,DELAPLACE Anthony,Team Arkéa Samsic,https://www.procyclingstats.com/rider/anthony-delaplace
41,VERONA Carlos,Movistar Team,https://www.procyclingstats.com/rider/carlos-verona
42,HAMILTON Chris,Team DSM,https://www.procyclingstats.com/rider/chris-hamilton
43,GESINK Robert,Team Jumbo-Visma,https://www.procyclingstats.com/rider/robert-gesink
44,CHAMPOUSSIN Clément,AG2R Citroën Team,https://www.procyclingstats.com/rider/clement-champoussin
45,PERNSTEINER Hermann,Bahrain - Victorious,https://www.procyclingstats.com/rider/hermann-pernsteiner
46,DENNIS Rohan,INEOS Grenadiers,https://www.procyclingstats.com/rider/rohan-dennis
47,DOMBROWSKI Joe,UAE-Team Emirates,https://www.procyclingstats.com/rider/joe-dombrowski
48,CAICEDO Jonathan Klever,EF Education - Nippo,https://www.procyclingstats.com/rider/jonathan-klever-caicedo
49,HIRSCHI Marc,UAE-Team Emirates,https://www.procyclingstats.com/rider/marc-hirschi
50,MOHORIČ Matej,Bahrain - Victorious,https://www.procyclingstats.com/rider/matej-mohoric
51,TEJADA Harold,Astana - Premier Tech,https://www.procyclingstats.com/rider/harold-tejada
52,URÁN Rigoberto,EF Education - Nippo,https://www.procyclingstats.com/rider/rigoberto-uran
53,SMITH Dion,Team BikeExchange,https://www.procyclingstats.com/rider/dion-smith
54,DE BOD Stefan,Astana - Premier Tech,https://www.procyclingstats.com/rider/stefan-de-bod
55,VAN GILS Maxim,Lotto Soudal,https://www.procyclingstats.com/rider/maxim-van-gils
56,BRAMBILLA Gianluca,Trek - Segafredo,https://www.procyclingstats.com/rider/gianluca-brambilla
57,STORER Michael,Team DSM,https://www.procyclingstats.com/rider/michael-storer
58,LÓPEZ Juan Pedro,Trek - Segafredo,https://www.procyclingstats.com/rider/juan-pedro-lopez
59,JUNGELS Bob,AG2R Citroën Team,https://www.procyclingstats.com/rider/bob-jungels
60,HARPER Chris,Team Jumbo-Visma,https://www.procyclingstats.com/rider/chris-harper
61,MARTÍN Gotzon,Euskaltel - Euskadi,https://www.procyclingstats.com/rider/gotzon-martin
62,KUDUS Merhawi,Astana - Premier Tech,https://www.procyclingstats.com/rider/merhawi-kudus
63,RIES Michel,Trek - Segafredo,https://www.procyclingstats.com/rider/michel-ries
64,DEVENYNS Dries,Deceuninck - Quick Step,https://www.procyclingstats.com/rider/dries-devenyns
65,GREGAARD Jonas,Astana - Premier Tech,https://www.procyclingstats.com/rider/jonas-gregaard
66,DE GENDT Thomas,Lotto Soudal,https://www.procyclingstats.com/rider/thomas-de-gendt
67,ARDILA Andrés Camilo,UAE-Team Emirates,https://www.procyclingstats.com/rider/andres-camilo-ardila
68,PEDRERO Antonio,Movistar Team,https://www.procyclingstats.com/rider/antonio-pedrero
69,IMPEY Daryl,Israel Start-Up Nation,https://www.procyclingstats.com/rider/daryl-impey
70,VAN GARDEREN Tejay,EF Education - Nippo,https://www.procyclingstats.com/rider/tejay-van-garderen
71,STRAKHOV Dmitry,Gazprom - RusVelo,https://www.procyclingstats.com/rider/dmitry-strakhov
72,VALGREN Michael,EF Education - Nippo,https://www.procyclingstats.com/rider/michael-valgren-andersen
73,FRANKINY Kilian,Team Qhubeka ASSOS,https://www.procyclingstats.com/rider/kilian-frankiny
74,BOUWMAN Koen,Team Jumbo-Visma,https://www.procyclingstats.com/rider/koen-bouwman
75,GASTAUER Ben,AG2R Citroën Team,https://www.procyclingstats.com/rider/ben-gastauer
76,SOLER Marc,Movistar Team,https://www.procyclingstats.com/rider/marc-soler
77,BIDARD François,AG2R Citroën Team,https://www.procyclingstats.com/rider/francois-bidard
78,KREUZIGER Roman,Gazprom - RusVelo,https://www.procyclingstats.com/rider/roman-kreuziger
79,POELS Wout,Bahrain - Victorious,https://www.procyclingstats.com/rider/wout-poels
80,HÄNNINEN Jaakko,AG2R Citroën Team,https://www.procyclingstats.com/rider/jaakko-hanninen
81,FROOME Chris,Israel Start-Up Nation,https://www.procyclingstats.com/rider/christopher-froome
82,HIRT Jan,Intermarché - Wanty - Gobert Matériaux,https://www.procyclingstats.com/rider/jan-hirt
83,SKJELMOSE JENSEN Mattias,Trek - Segafredo,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen
84,TAARAMÄE Rein,Intermarché - Wanty - Gobert Matériaux,https://www.procyclingstats.com/rider/rein-taaramae
85,VENTURINI Clément,AG2R Citroën Team,https://www.procyclingstats.com/rider/clement-venturini
86,PICHON Laurent,Team Arkéa Samsic,https://www.procyclingstats.com/rider/laurent-pichon
87,SAMITIER Sergio,Movistar Team,https://www.procyclingstats.com/rider/sergio-samitier
88,HAGA Chad,Team DSM,https://www.procyclingstats.com/rider/chad-haga
89,CAVAGNA Rémi,Deceuninck - Quick Step,https://www.procyclingstats.com/rider/remi-cavagna
90,BENNETT Sean,Team Qhubeka ASSOS,https://www.procyclingstats.com/rider/sean-bennett
91,CASTROVIEJO Jonathan,INEOS Grenadiers,https://www.procyclingstats.com/rider/jonathan-castroviejo
92,BOOKWALTER Brent,Team BikeExchange,https://www.procyclingstats.com/rider/brent-bookwalter
93,SCHELLING Ide,BORA - hansgrohe,https://www.procyclingstats.com/rider/ide-schelling
94,OWSIAN Łukasz,Team Arkéa Samsic,https://www.procyclingstats.com/rider/lukasz-owsian
95,KAMP Alexander,Trek - Segafredo,https://www.procyclingstats.com/rider/alexander-kamp
96,ROCHAS Rémy,"Cofidis, Solutions Crédits",https://www.procyclingstats.com/rider/remy-rochas
97,WILLIAMS Stephen,Bahrain - Victorious,https://www.procyclingstats.com/rider/stephen-williams
98,HOLLENSTEIN Reto,Israel Start-Up Nation,https://www.procyclingstats.com/rider/reto-hollenstein
99,BARCELÓ Fernando,"Cofidis, Solutions Crédits",https://www.procyclingstats.com/rider/fernando-barcelo
100,CATALDO Dario,Movistar Team,https://www.procyclingstats.com/rider/dario-cataldo
101,ARENSMAN Thymen,Team DSM,https://www.procyclingstats.com/rider/thymen-arensman
102,CHAMPION Thomas,"Cofidis, Solutions Crédits",https://www.procyclingstats.com/rider/thomas-champion
103,BRITTON Rob,Rally Cycling,https://www.procyclingstats.com/rider/rob-britton
104,BERHANE Natnael,"Cofidis, Solutions Crédits",https://www.procyclingstats.com/rider/natnael-berhane
105,NYCH Artem,Gazprom - RusVelo,https://www.procyclingstats.com/rider/artem-nych
106,CHERNETSKI Sergei,Gazprom - RusVelo,https://www.procyclingstats.com/rider/sergei-chernetski
107,KOCHETKOV Pavel,Gazprom - RusVelo,https://www.procyclingstats.com/rider/pavel-kochetkov
108,GOLDSTEIN Omer,Israel Start-Up Nation,https://www.procyclingstats.com/rider/omer-goldstein
109,LADAGNOUS Matthieu,Groupama - FDJ,https://www.procyclingstats.com/rider/matthieu-ladagnous
110,ITURRIA Mikel,Euskaltel - Euskadi,https://www.procyclingstats.com/rider/mikel-iturria
111,MARCZYŃSKI Tomasz,Lotto Soudal,https://www.procyclingstats.com/rider/tomasz-marczynski
112,JANSE VAN RENSBURG Reinardt,Team Qhubeka ASSOS,https://www.procyclingstats.com/rider/reinardt-janse-van-rensburg
113,CAMARGO Diego Andrés,EF Education - Nippo,https://www.procyclingstats.com/rider/diego-andres-camargo
114,PRONSKIY Vadim,Astana - Premier Tech,https://www.procyclingstats.com/rider/vadim-pronskiy
115,ROSSKOPF Joey,Rally Cycling,https://www.procyclingstats.com/rider/joey-rosskopf
116,ARMÉE Sander,Team Qhubeka ASSOS,https://www.procyclingstats.com/rider/sander-armee
117,ČERNÝ Josef,Deceuninck - Quick Step,https://www.procyclingstats.com/rider/josef-cerny
118,MANNION Gavin,Rally Cycling,https://www.procyclingstats.com/rider/gavin-mannion
119,DUCHESNE Antoine,Groupama - FDJ,https://www.procyclingstats.com/rider/antoine-duchesne
120,LOUVEL Matis,Team Arkéa Samsic,https://www.procyclingstats.com/rider/matis-louvel
121,BROWN Connor,Team Qhubeka ASSOS,https://www.procyclingstats.com/rider/connor-brown2
122,SOTO Antonio Jesus,Euskaltel - Euskadi,https://www.procyclingstats.com/rider/antonio-soto
123,KING Ben,Rally Cycling,https://www.procyclingstats.com/rider/benjamin-king-1
124,JOYCE Colin,Rally Cycling,https://www.procyclingstats.com/rider/colin-joyce
125,GUGLIELMI Simon,Groupama - FDJ,https://www.procyclingstats.com/rider/simon-guglielmi
126,SAGAN Peter,BORA - hansgrohe,https://www.procyclingstats.com/rider/peter-sagan
127,MOLANO Juan Sebastián,UAE-Team Emirates,https://www.procyclingstats.com/rider/juan-sebastian-molano
128,KANTER Max,Team DSM,https://www.procyclingstats.com/rider/max-kanter
129,LOBATO Juan José,Euskaltel - Euskadi,https://www.procyclingstats.com/rider/juan-jose-lobato
130,RIOU Alan,Team Arkéa Samsic,https://www.procyclingstats.com/rider/alan-riou
131,WANDAHL Frederik,BORA - hansgrohe,https://www.procyclingstats.com/rider/frederik-wandahl
